"tollgate_id","time_window","direction","volume","has_etc",vehicle_model_0,vehicle_model_1,vehicle_model_2,vehicle_model_3,vehicle_model_4,vehicle_model_5,vehicle_model_6,vehicle_model_7,vehicle_type_0,vehicle_type_1
1,2016-09-19 00:00:00,1,140,33.0,0.0,125.0,7.0,2.0,2.0,0.0,0.0,4.0,109.0,31.0
1,2016-09-19 00:20:00,1,56,10.0,0.0,41.0,5.0,1.0,6.0,1.0,0.0,2.0,40.0,16.0
1,2016-09-19 00:40:00,1,31,5.0,0.0,20.0,8.0,2.0,1.0,0.0,0.0,0.0,20.0,11.0
1,2016-09-19 01:00:00,1,4,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1,2016-09-19 01:20:00,1,14,2.0,0.0,9.0,3.0,0.0,0.0,2.0,0.0,0.0,8.0,6.0
1,2016-09-19 01:40:00,1,7,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0
1,2016-09-19 02:00:00,1,7,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0
1,2016-09-19 02:20:00,1,7,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0
1,2016-09-19 02:40:00,1,10,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0
1,2016-09-19 03:00:00,1,10,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0
1,2016-09-19 03:20:00,1,14,0.0,0.0,8.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,13.0
1,2016-09-19 03:40:00,1,20,2.0,0.0,17.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,13.0
1,2016-09-19 04:00:00,1,18,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0
1,2016-09-19 04:20:00,1,17,2.0,0.0,13.0,0.0,1.0,2.0,1.0,0.0,0.0,7.0,10.0
1,2016-09-19 04:40:00,1,23,0.0,0.0,17.0,3.0,2.0,0.0,1.0,0.0,0.0,8.0,15.0
1,2016-09-19 05:00:00,1,28,3.0,0.0,24.0,2.0,0.0,0.0,2.0,0.0,0.0,16.0,12.0
1,2016-09-19 05:20:00,1,24,1.0,0.0,18.0,4.0,0.0,0.0,2.0,0.0,0.0,7.0,17.0
1,2016-09-19 05:40:00,1,34,3.0,0.0,24.0,4.0,3.0,0.0,3.0,0.0,0.0,16.0,18.0
1,2016-09-19 06:00:00,1,39,6.0,0.0,27.0,6.0,3.0,1.0,0.0,2.0,0.0,18.0,21.0
1,2016-09-19 06:20:00,1,57,8.0,0.0,44.0,9.0,1.0,0.0,3.0,0.0,0.0,35.0,22.0
1,2016-09-19 06:40:00,1,72,11.0,0.0,52.0,14.0,0.0,0.0,3.0,0.0,3.0,39.0,33.0
1,2016-09-19 07:00:00,1,70,14.0,0.0,53.0,13.0,1.0,0.0,3.0,0.0,0.0,51.0,19.0
1,2016-09-19 07:20:00,1,83,19.0,0.0,70.0,6.0,3.0,2.0,2.0,0.0,0.0,62.0,21.0
1,2016-09-19 07:40:00,1,118,35.0,0.0,106.0,5.0,3.0,2.0,2.0,0.0,0.0,99.0,19.0
1,2016-09-19 08:00:00,1,123,32.0,0.0,111.0,7.0,1.0,4.0,0.0,0.0,0.0,106.0,17.0
1,2016-09-19 08:20:00,1,119,25.0,0.0,106.0,5.0,2.0,4.0,2.0,0.0,0.0,105.0,14.0
1,2016-09-19 08:40:00,1,116,26.0,0.0,99.0,10.0,0.0,5.0,2.0,0.0,0.0,96.0,20.0
1,2016-09-19 09:00:00,1,120,34.0,0.0,114.0,3.0,2.0,0.0,0.0,0.0,1.0,99.0,21.0
1,2016-09-19 09:20:00,1,151,34.0,0.0,135.0,10.0,1.0,4.0,1.0,0.0,0.0,119.0,32.0
1,2016-09-19 09:40:00,1,131,27.0,0.0,112.0,12.0,2.0,0.0,3.0,0.0,2.0,94.0,37.0
1,2016-09-19 10:00:00,1,101,15.0,0.0,80.0,15.0,3.0,1.0,2.0,0.0,0.0,67.0,34.0
