is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"1","0","0","0","0","0","103","71","67","65","38","30","62","2016-09-19 08:00:00","118"
"0","1","0","0","0","0","103","71","67","65","38","30","62","2016-09-19 08:20:00","168"
"0","0","1","0","0","0","103","71","67","65","38","30","62","2016-09-19 08:40:00","161"
"0","0","0","1","0","0","103","71","67","65","38","30","62","2016-09-19 09:00:00","145"
"0","0","0","0","1","0","103","71","67","65","38","30","62","2016-09-19 09:20:00","125"
"0","0","0","0","0","1","103","71","67","65","38","30","62","2016-09-19 09:40:00","116"
"1","0","0","0","0","0","115","90","101","83","95","75","93","2016-09-19 17:00:00","86"
"0","1","0","0","0","0","115","90","101","83","95","75","93","2016-09-19 17:20:00","85"
"0","0","1","0","0","0","115","90","101","83","95","75","93","2016-09-19 17:40:00","91"
"0","0","0","1","0","0","115","90","101","83","95","75","93","2016-09-19 18:00:00","73"
"0","0","0","0","1","0","115","90","101","83","95","75","93","2016-09-19 18:20:00","78"
"0","0","0","0","0","1","115","90","101","83","95","75","93","2016-09-19 18:40:00","77"
"1","0","0","0","0","0","122","97","83","66","43","24","72","2016-09-20 08:00:00","154"
"0","1","0","0","0","0","122","97","83","66","43","24","72","2016-09-20 08:20:00","209"
"0","0","1","0","0","0","122","97","83","66","43","24","72","2016-09-20 08:40:00","210"
"0","0","0","1","0","0","122","97","83","66","43","24","72","2016-09-20 09:00:00","191"
"0","0","0","0","1","0","122","97","83","66","43","24","72","2016-09-20 09:20:00","222"
"0","0","0","0","0","1","122","97","83","66","43","24","72","2016-09-20 09:40:00","174"
"1","0","0","0","0","0","96","97","85","87","73","80","86","2016-09-20 17:00:00","84"
"0","1","0","0","0","0","96","97","85","87","73","80","86","2016-09-20 17:20:00","86"
"0","0","1","0","0","0","96","97","85","87","73","80","86","2016-09-20 17:40:00","106"
"0","0","0","1","0","0","96","97","85","87","73","80","86","2016-09-20 18:00:00","90"
"0","0","0","0","1","0","96","97","85","87","73","80","86","2016-09-20 18:20:00","84"
"0","0","0","0","0","1","96","97","85","87","73","80","86","2016-09-20 18:40:00","88"
"1","0","0","0","0","0","89","92","66","37","42","20","57","2016-09-21 08:00:00","126"
"0","1","0","0","0","0","89","92","66","37","42","20","57","2016-09-21 08:20:00","122"
"0","0","1","0","0","0","89","92","66","37","42","20","57","2016-09-21 08:40:00","149"
"0","0","0","1","0","0","89","92","66","37","42","20","57","2016-09-21 09:00:00","131"
"0","0","0","0","1","0","89","92","66","37","42","20","57","2016-09-21 09:20:00","83"
"0","0","0","0","0","1","89","92","66","37","42","20","57","2016-09-21 09:40:00","78"
"1","0","0","0","0","0","100","88","87","99","108","98","96","2016-09-21 17:00:00","77"
"0","1","0","0","0","0","100","88","87","99","108","98","96","2016-09-21 17:20:00","94"
"0","0","1","0","0","0","100","88","87","99","108","98","96","2016-09-21 17:40:00","95"
"0","0","0","1","0","0","100","88","87","99","108","98","96","2016-09-21 18:00:00","67"
"0","0","0","0","1","0","100","88","87","99","108","98","96","2016-09-21 18:20:00","75"
"0","0","0","0","0","1","100","88","87","99","108","98","96","2016-09-21 18:40:00","68"
"1","0","0","0","0","0","93","88","63","50","37","33","60","2016-09-22 08:00:00","121"
"0","1","0","0","0","0","93","88","63","50","37","33","60","2016-09-22 08:20:00","127"
"0","0","1","0","0","0","93","88","63","50","37","33","60","2016-09-22 08:40:00","136"
"0","0","0","1","0","0","93","88","63","50","37","33","60","2016-09-22 09:00:00","116"
"0","0","0","0","1","0","93","88","63","50","37","33","60","2016-09-22 09:20:00","110"
"0","0","0","0","0","1","93","88","63","50","37","33","60","2016-09-22 09:40:00","96"
"1","0","0","0","0","0","86","87","89","76","101","94","88","2016-09-22 17:00:00","78"
"0","1","0","0","0","0","86","87","89","76","101","94","88","2016-09-22 17:20:00","86"
"0","0","1","0","0","0","86","87","89","76","101","94","88","2016-09-22 17:40:00","78"
"0","0","0","1","0","0","86","87","89","76","101","94","88","2016-09-22 18:00:00","54"
"0","0","0","0","1","0","86","87","89","76","101","94","88","2016-09-22 18:20:00","53"
"0","0","0","0","0","1","86","87","89","76","101","94","88","2016-09-22 18:40:00","99"
"1","0","0","0","0","0","105","81","66","53","41","28","62","2016-09-23 08:00:00","118"
"0","1","0","0","0","0","105","81","66","53","41","28","62","2016-09-23 08:20:00","135"
"0","0","1","0","0","0","105","81","66","53","41","28","62","2016-09-23 08:40:00","154"
"0","0","0","1","0","0","105","81","66","53","41","28","62","2016-09-23 09:00:00","134"
"0","0","0","0","1","0","105","81","66","53","41","28","62","2016-09-23 09:20:00","137"
"0","0","0","0","0","1","105","81","66","53","41","28","62","2016-09-23 09:40:00","96"
"1","0","0","0","0","0","137","119","102","107","120","98","113","2016-09-23 17:00:00","86"
"0","1","0","0","0","0","137","119","102","107","120","98","113","2016-09-23 17:20:00","110"
"0","0","1","0","0","0","137","119","102","107","120","98","113","2016-09-23 17:40:00","121"
"0","0","0","1","0","0","137","119","102","107","120","98","113","2016-09-23 18:00:00","100"
"0","0","0","0","1","0","137","119","102","107","120","98","113","2016-09-23 18:20:00","95"
"0","0","0","0","0","1","137","119","102","107","120","98","113","2016-09-23 18:40:00","96"
"1","0","0","0","0","0","95","71","73","48","44","17","58","2016-09-24 08:00:00","122"
"0","1","0","0","0","0","95","71","73","48","44","17","58","2016-09-24 08:20:00","113"
"0","0","1","0","0","0","95","71","73","48","44","17","58","2016-09-24 08:40:00","107"
"0","0","0","1","0","0","95","71","73","48","44","17","58","2016-09-24 09:00:00","115"
"0","0","0","0","1","0","95","71","73","48","44","17","58","2016-09-24 09:20:00","128"
"0","0","0","0","0","1","95","71","73","48","44","17","58","2016-09-24 09:40:00","124"
"1","0","0","0","0","0","114","107","109","105","134","104","112","2016-09-24 17:00:00","87"
"0","1","0","0","0","0","114","107","109","105","134","104","112","2016-09-24 17:20:00","88"
"0","0","1","0","0","0","114","107","109","105","134","104","112","2016-09-24 17:40:00","87"
"0","0","0","1","0","0","114","107","109","105","134","104","112","2016-09-24 18:00:00","57"
"0","0","0","0","1","0","114","107","109","105","134","104","112","2016-09-24 18:20:00","77"
"0","0","0","0","0","1","114","107","109","105","134","104","112","2016-09-24 18:40:00","66"
"1","0","0","0","0","0","112","72","50","49","28","21","55","2016-09-25 08:00:00","112"
"0","1","0","0","0","0","112","72","50","49","28","21","55","2016-09-25 08:20:00","111"
"0","0","1","0","0","0","112","72","50","49","28","21","55","2016-09-25 08:40:00","120"
"0","0","0","1","0","0","112","72","50","49","28","21","55","2016-09-25 09:00:00","108"
"0","0","0","0","1","0","112","72","50","49","28","21","55","2016-09-25 09:20:00","140"
"0","0","0","0","0","1","112","72","50","49","28","21","55","2016-09-25 09:40:00","102"
"1","0","0","0","0","0","101","100","109","107","119","122","109","2016-09-25 17:00:00","118"
"0","1","0","0","0","0","101","100","109","107","119","122","109","2016-09-25 17:20:00","84"
"0","0","1","0","0","0","101","100","109","107","119","122","109","2016-09-25 17:40:00","82"
"0","0","0","1","0","0","101","100","109","107","119","122","109","2016-09-25 18:00:00","75"
"0","0","0","0","1","0","101","100","109","107","119","122","109","2016-09-25 18:20:00","88"
"0","0","0","0","0","1","101","100","109","107","119","122","109","2016-09-25 18:40:00","71"
"1","0","0","0","0","0","137","87","83","66","49","22","74","2016-09-26 08:00:00","138"
"0","1","0","0","0","0","137","87","83","66","49","22","74","2016-09-26 08:20:00","164"
"0","0","1","0","0","0","137","87","83","66","49","22","74","2016-09-26 08:40:00","150"
"0","0","0","1","0","0","137","87","83","66","49","22","74","2016-09-26 09:00:00","145"
"0","0","0","0","1","0","137","87","83","66","49","22","74","2016-09-26 09:20:00","113"
"0","0","0","0","0","1","137","87","83","66","49","22","74","2016-09-26 09:40:00","104"
"1","0","0","0","0","0","78","89","82","93","77","102","86","2016-09-26 17:00:00","85"
"0","1","0","0","0","0","78","89","82","93","77","102","86","2016-09-26 17:20:00","90"
"0","0","1","0","0","0","78","89","82","93","77","102","86","2016-09-26 17:40:00","82"
"0","0","0","1","0","0","78","89","82","93","77","102","86","2016-09-26 18:00:00","91"
"0","0","0","0","1","0","78","89","82","93","77","102","86","2016-09-26 18:20:00","55"
