is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"1","0","0","0","0","0","153","123","127","71","58","39","95","2016-09-19 08:00:00","161"
"0","1","0","0","0","0","153","123","127","71","58","39","95","2016-09-19 08:20:00","167"
"0","0","1","0","0","0","153","123","127","71","58","39","95","2016-09-19 08:40:00","138"
"0","0","0","1","0","0","153","123","127","71","58","39","95","2016-09-19 09:00:00","174"
"0","0","0","0","1","0","153","123","127","71","58","39","95","2016-09-19 09:20:00","144"
"0","0","0","0","0","1","153","123","127","71","58","39","95","2016-09-19 09:40:00","148"
"1","0","0","0","0","0","116","111","123","115","109","117","115","2016-09-19 17:00:00","110"
"0","1","0","0","0","0","116","111","123","115","109","117","115","2016-09-19 17:20:00","118"
"0","0","1","0","0","0","116","111","123","115","109","117","115","2016-09-19 17:40:00","95"
"0","0","0","1","0","0","116","111","123","115","109","117","115","2016-09-19 18:00:00","94"
"0","0","0","0","1","0","116","111","123","115","109","117","115","2016-09-19 18:20:00","56"
"0","0","0","0","0","1","116","111","123","115","109","117","115","2016-09-19 18:40:00","61"
"1","0","0","0","0","0","136","141","113","80","43","31","90","2016-09-20 08:00:00","145"
"0","1","0","0","0","0","136","141","113","80","43","31","90","2016-09-20 08:20:00","173"
"0","0","1","0","0","0","136","141","113","80","43","31","90","2016-09-20 08:40:00","154"
"0","0","0","1","0","0","136","141","113","80","43","31","90","2016-09-20 09:00:00","144"
"0","0","0","0","1","0","136","141","113","80","43","31","90","2016-09-20 09:20:00","142"
"0","0","0","0","0","1","136","141","113","80","43","31","90","2016-09-20 09:40:00","144"
"1","0","0","0","0","0","122","113","122","131","132","124","124","2016-09-20 17:00:00","126"
"0","1","0","0","0","0","122","113","122","131","132","124","124","2016-09-20 17:20:00","116"
"0","0","1","0","0","0","122","113","122","131","132","124","124","2016-09-20 17:40:00","95"
"0","0","0","1","0","0","122","113","122","131","132","124","124","2016-09-20 18:00:00","81"
"0","0","0","0","1","0","122","113","122","131","132","124","124","2016-09-20 18:20:00","100"
"0","0","0","0","0","1","122","113","122","131","132","124","124","2016-09-20 18:40:00","63"
"1","0","0","0","0","0","151","133","116","85","47","32","94","2016-09-21 08:00:00","135"
"0","1","0","0","0","0","151","133","116","85","47","32","94","2016-09-21 08:20:00","163"
"0","0","1","0","0","0","151","133","116","85","47","32","94","2016-09-21 08:40:00","120"
"0","0","0","1","0","0","151","133","116","85","47","32","94","2016-09-21 09:00:00","139"
"0","0","0","0","1","0","151","133","116","85","47","32","94","2016-09-21 09:20:00","120"
"0","0","0","0","0","1","151","133","116","85","47","32","94","2016-09-21 09:40:00","130"
"1","0","0","0","0","0","124","118","109","89","114","113","111","2016-09-21 17:00:00","118"
