is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"1","0","0","0","0","0","43","31","39","32","13","8","27","2016-09-19 08:00:00","46"
"0","1","0","0","0","0","43","31","39","32","13","8","27","2016-09-19 08:20:00","56"
"0","0","1","0","0","0","43","31","39","32","13","8","27","2016-09-19 08:40:00","41"
"0","0","0","1","0","0","43","31","39","32","13","8","27","2016-09-19 09:00:00","50"
"0","0","0","0","1","0","43","31","39","32","13","8","27","2016-09-19 09:20:00","49"
"0","0","0","0","0","1","43","31","39","32","13","8","27","2016-09-19 09:40:00","44"
"1","0","0","0","0","0","55","46","42","43","57","48","48","2016-09-19 17:00:00","36"
"0","1","0","0","0","0","55","46","42","43","57","48","48","2016-09-19 17:20:00","34"
"0","0","1","0","0","0","55","46","42","43","57","48","48","2016-09-19 17:40:00","24"
"0","0","0","1","0","0","55","46","42","43","57","48","48","2016-09-19 18:00:00","29"
"0","0","0","0","1","0","55","46","42","43","57","48","48","2016-09-19 18:20:00","27"
"0","0","0","0","0","1","55","46","42","43","57","48","48","2016-09-19 18:40:00","18"
"1","0","0","0","0","0","31","30","38","29","20","13","26","2016-09-20 08:00:00","53"
"0","1","0","0","0","0","31","30","38","29","20","13","26","2016-09-20 08:20:00","50"
"0","0","1","0","0","0","31","30","38","29","20","13","26","2016-09-20 08:40:00","45"
"0","0","0","1","0","0","31","30","38","29","20","13","26","2016-09-20 09:00:00","51"
"0","0","0","0","1","0","31","30","38","29","20","13","26","2016-09-20 09:20:00","68"
"0","0","0","0","0","1","31","30","38","29","20","13","26","2016-09-20 09:40:00","59"
"1","0","0","0","0","0","48","57","48","73","64","71","60","2016-09-20 17:00:00","38"
"0","1","0","0","0","0","48","57","48","73","64","71","60","2016-09-20 17:20:00","42"
"0","0","1","0","0","0","48","57","48","73","64","71","60","2016-09-20 17:40:00","38"
"0","0","0","1","0","0","48","57","48","73","64","71","60","2016-09-20 18:00:00","26"
"0","0","0","0","1","0","48","57","48","73","64","71","60","2016-09-20 18:20:00","29"
"0","0","0","0","0","1","48","57","48","73","64","71","60","2016-09-20 18:40:00","20"
"1","0","0","0","0","0","95","84","78","75","41","36","68","2016-09-21 08:00:00","122"
"0","1","0","0","0","0","95","84","78","75","41","36","68","2016-09-21 08:20:00","126"
"0","0","1","0","0","0","95","84","78","75","41","36","68","2016-09-21 08:40:00","77"
"0","0","0","1","0","0","95","84","78","75","41","36","68","2016-09-21 09:00:00","49"
"0","0","0","0","1","0","95","84","78","75","41","36","68","2016-09-21 09:20:00","55"
"0","0","0","0","0","1","95","84","78","75","41","36","68","2016-09-21 09:40:00","53"
"1","0","0","0","0","0","46","45","46","49","46","48","46","2016-09-21 17:00:00","47"
"0","1","0","0","0","0","46","45","46","49","46","48","46","2016-09-21 17:20:00","35"
"0","0","1","0","0","0","46","45","46","49","46","48","46","2016-09-21 17:40:00","20"
"0","0","0","1","0","0","46","45","46","49","46","48","46","2016-09-21 18:00:00","20"
"0","0","0","0","1","0","46","45","46","49","46","48","46","2016-09-21 18:20:00","20"
"0","0","0","0","0","1","46","45","46","49","46","48","46","2016-09-21 18:40:00","24"
"1","0","0","0","0","0","34","40","28","36","10","6","25","2016-09-22 08:00:00","50"
"0","1","0","0","0","0","34","40","28","36","10","6","25","2016-09-22 08:20:00","58"
"0","0","1","0","0","0","34","40","28","36","10","6","25","2016-09-22 08:40:00","51"
"0","0","0","1","0","0","34","40","28","36","10","6","25","2016-09-22 09:00:00","43"
"0","0","0","0","1","0","34","40","28","36","10","6","25","2016-09-22 09:20:00","52"
