time,Entry
1,46
2,50
3,49
4,54
5,54
6,50
7,44
8,37
9,30
10,30
11,29
12,22
13,42
14,47
15,49
16,46
17,47
18,43
19,37
20,29
21,29
22,25
23,30
24,27
25,44
26,51
27,51
28,47
29,53
30,52
31,37
32,30
33,30
34,25
35,31
36,25
37,49
38,52
39,52
40,49
41,51
42,53
43,54
44,53
45,36
46,36
47,33
48,30
49,39
50,44
51,44
52,43
53,45
54,47
55,46
56,50
57,34
58,32
59,32
60,23
61,33
62,37
63,38
64,39
65,37
66,38
67,50
68,48
69,35
70,36
71,32
72,33
73,49
74,48
75,49
76,54
77,57
78,52
79,41
80,32
81,32
82,30
83,33
84,23
