time,Entry
1,151
2,152
3,144
4,142
5,132
6,127
7,112
8,114
9,97
10,81
11,65
12,57
13,154
14,154
15,145
16,145
17,143
18,127
19,105
20,109
21,100
22,87
23,78
24,63
25,147
26,149
27,144
28,141
29,136
30,132
31,120
32,119
33,106
34,92
35,75
36,65
37,150
38,151
39,143
40,145
41,141
42,126
43,141
44,129
45,123
46,110
47,105
48,93
49,109
50,114
51,125
52,123
53,120
54,114
55,119
56,125
57,104
58,89
59,81
60,65
61,99
62,104
63,114
64,113
65,110
66,104
67,115
68,115
69,101
70,88
71,73
72,62
73,154
74,146
75,145
76,133
77,131
78,118
