time,Entry
1,114
2,116
3,132
4,115
5,119
6,94
7,88
8,82
9,92
10,76
11,64
12,78
13,110
14,114
15,125
16,117
17,123
18,97
19,84
20,82
21,88
22,80
23,61
24,82
25,105
26,107
27,121
28,113
29,109
30,95
31,78
32,83
33,96
34,66
35,65
36,76
37,110
38,109
39,120
40,114
41,111
42,92
43,90
44,92
45,99
46,86
47,78
48,73
49,84
50,86
51,91
52,99
53,87
54,86
55,82
56,83
57,98
58,69
59,69
60,65
61,100
62,104
63,112
64,118
65,105
66,98
67,88
68,90
69,92
70,81
71,80
72,72
73,119
74,134
75,150
76,131
77,131
78,116
