time,Entry
1,107
2,105
3,104
4,99
5,89
6,78
7,76
8,70
9,71
10,65
11,64
12,56
13,103
14,102
15,100
16,93
17,88
18,72
19,76
20,71
21,69
22,63
23,62
24,55
25,97
26,94
27,94
28,92
29,80
30,74
31,72
32,67
33,67
34,59
35,58
36,54
37,108
38,104
39,105
40,103
41,98
42,87
43,82
44,83
45,78
46,67
47,68
48,62
49,87
50,81
51,82
52,79
53,79
54,70
55,69
56,68
57,65
58,60
59,55
60,46
61,101
62,91
63,91
64,92
65,90
66,84
67,73
68,72
69,68
70,62
71,60
72,54
73,117
74,118
75,116
76,110
77,100
78,90
79,80
80,76
81,72
82,65
83,64
84,57
