is_holi,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,is_week,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
0,1,0,0,0,0,0,0,97,80,84,37,36,30,60,2016/9/19 8:00,129
0,0,1,0,0,0,0,0,97,80,84,37,36,30,60,2016/9/19 8:20,122
0,0,0,1,0,0,0,0,97,80,84,37,36,30,60,2016/9/19 8:40,98
0,0,0,0,1,0,0,0,97,80,84,37,36,30,60,2016/9/19 9:00,89
0,0,0,0,0,1,0,0,97,80,84,37,36,30,60,2016/9/19 9:20,78
0,0,0,0,0,0,1,0,97,80,84,37,36,30,60,2016/9/19 9:40,59
0,1,0,0,0,0,0,0,99,86,76,74,67,77,79,2016/9/19 17:00,85
0,0,1,0,0,0,0,0,99,86,76,74,67,77,79,2016/9/19 17:20,72
0,0,0,1,0,0,0,0,99,86,76,74,67,77,79,2016/9/19 17:40,53
0,0,0,0,1,0,0,0,99,86,76,74,67,77,79,2016/9/19 18:00,55
0,0,0,0,0,1,0,0,99,86,76,74,67,77,79,2016/9/19 18:20,50
0,0,0,0,0,0,1,0,99,86,76,74,67,77,79,2016/9/19 18:40,49
0,1,0,0,0,0,0,0,93,86,79,54,31,33,62,2016/9/20 8:00,112
0,0,1,0,0,0,0,0,93,86,79,54,31,33,62,2016/9/20 8:20,111
0,0,0,1,0,0,0,0,93,86,79,54,31,33,62,2016/9/20 8:40,112
0,0,0,0,1,0,0,0,93,86,79,54,31,33,62,2016/9/20 9:00,105
0,0,0,0,0,1,0,0,93,86,79,54,31,33,62,2016/9/20 9:20,99
0,0,0,0,0,0,1,0,93,86,79,54,31,33,62,2016/9/20 9:40,87
0,1,0,0,0,0,0,0,64,76,82,69,69,62,70,2016/9/20 17:00,82
0,0,1,0,0,0,0,0,64,76,82,69,69,62,70,2016/9/20 17:20,86
0,0,0,1,0,0,0,0,64,76,82,69,69,62,70,2016/9/20 17:40,85
0,0,0,0,1,0,0,0,64,76,82,69,69,62,70,2016/9/20 18:00,77
0,0,0,0,0,1,0,0,64,76,82,69,69,62,70,2016/9/20 18:20,60
0,0,0,0,0,0,1,0,64,76,82,69,69,62,70,2016/9/20 18:40,56
0,1,0,0,0,0,0,0,44,37,42,14,9,6,25,2016/9/21 8:00,37
0,0,1,0,0,0,0,0,44,37,42,14,9,6,25,2016/9/21 8:20,30
0,0,0,1,0,0,0,0,44,37,42,14,9,6,25,2016/9/21 8:40,66
0,0,0,0,1,0,0,0,44,37,42,14,9,6,25,2016/9/21 9:00,104
0,0,0,0,0,1,0,0,44,37,42,14,9,6,25,2016/9/21 9:20,100
0,0,0,0,0,0,1,0,44,37,42,14,9,6,25,2016/9/21 9:40,80
0,1,0,0,0,0,0,0,99,81,66,77,81,63,77,2016/9/21 17:00,88
0,0,1,0,0,0,0,0,99,81,66,77,81,63,77,2016/9/21 17:20,77
0,0,0,1,0,0,0,0,99,81,66,77,81,63,77,2016/9/21 17:40,83
0,0,0,0,1,0,0,0,99,81,66,77,81,63,77,2016/9/21 18:00,58
0,0,0,0,0,1,0,0,99,81,66,77,81,63,77,2016/9/21 18:20,72
0,0,0,0,0,0,1,0,99,81,66,77,81,63,77,2016/9/21 18:40,49
0,1,0,0,0,0,0,0,100,79,72,38,31,30,58,2016/9/22 8:00,108
0,0,1,0,0,0,0,0,100,79,72,38,31,30,58,2016/9/22 8:20,110
0,0,0,1,0,0,0,0,100,79,72,38,31,30,58,2016/9/22 8:40,101
0,0,0,0,1,0,0,0,100,79,72,38,31,30,58,2016/9/22 9:00,96
0,0,0,0,0,1,0,0,100,79,72,38,31,30,58,2016/9/22 9:20,81
0,0,0,0,0,0,1,0,100,79,72,38,31,30,58,2016/9/22 9:40,65
0,1,0,0,0,0,0,0,96,93,51,71,73,62,74,2016/9/22 17:00,71
0,0,1,0,0,0,0,0,96,93,51,71,73,62,74,2016/9/22 17:20,76
0,0,0,1,0,0,0,0,96,93,51,71,73,62,74,2016/9/22 17:40,70
0,0,0,0,1,0,0,0,96,93,51,71,73,62,74,2016/9/22 18:00,83
0,0,0,0,0,1,0,0,96,93,51,71,73,62,74,2016/9/22 18:20,63
