time,Entry
1,116
2,113
3,113
4,104
5,94
6,81
7,80
8,76
9,74
10,71
11,64
12,60
13,107
14,104
15,102
16,95
17,88
18,73
19,74
20,67
21,65
22,63
23,57
24,56
25,120
26,115
27,118
28,112
29,99
30,89
31,77
32,70
33,72
34,64
35,63
36,58
37,111
38,104
39,108
40,103
41,98
42,86
43,79
44,77
45,75
46,62
47,68
48,55
49,85
50,81
51,83
52,79
53,82
54,72
55,69
56,72
57,66
58,63
59,56
60,48
61,98
62,84
63,88
64,88
65,89
66,79
67,72
68,68
69,67
70,61
71,59
72,51
73,122
74,121
75,117
76,110
77,98
78,86
79,81
80,73
81,72
82,66
83,64
84,57
