time,Entry
1,49
2,52
3,48
4,49
5,51
6,51
7,39
8,36
9,31
10,31
11,29
12,25
13,42
14,47
15,45
16,42
17,43
18,45
19,38
20,34
21,30
22,26
23,31
24,28
25,46
26,54
27,53
28,49
29,54
30,54
31,39
32,36
33,30
34,28
35,31
36,29
37,48
38,51
39,50
40,47
41,49
42,50
43,48
44,49
45,39
46,37
47,36
48,33
49,39
50,43
51,42
52,39
53,41
54,43
55,48
56,52
57,42
58,38
59,37
60,35
61,37
62,37
63,37
64,36
65,35
66,37
67,44
68,44
69,34
70,32
71,28
72,25
73,47
74,48
75,44
76,45
77,46
78,46
79,37
80,33
81,32
82,30
83,29
84,24
