time,Entry
1,107
2,114
3,109
4,120
5,101
6,115
7,100
8,103
9,104
10,76
11,87
12,71
13,61
14,67
15,72
16,67
17,55
18,63
19,95
20,95
21,107
22,79
23,75
24,61
25,64
26,71
27,72
28,66
29,61
30,63
31,100
32,104
33,102
34,75
35,82
36,76
37,111
38,107
39,116
40,119
41,112
42,97
43,91
44,97
45,102
46,60
47,65
48,66
49,92
50,96
51,106
52,91
53,100
54,83
55,89
56,100
57,99
58,73
59,75
60,69
61,67
62,71
63,73
64,65
65,69
66,62
67,105
68,103
69,114
70,74
71,82
72,80
73,119
74,119
75,118
76,129
77,126
78,121
79,107
80,110
81,120
82,81
83,88
84,78
