time,Entry
1,143
2,155
3,139
4,144
5,128
6,131
7,107
8,107
9,98
10,80
11,73
12,61
13,152
14,152
15,145
16,150
17,145
18,124
19,98
20,106
21,96
22,82
23,73
24,65
25,150
26,148
27,150
28,141
29,138
30,127
31,125
32,124
33,115
34,105
35,92
36,79
37,146
38,147
39,144
40,153
41,143
42,129
43,141
44,122
45,113
46,111
47,103
48,88
49,135
50,137
51,142
52,143
53,142
54,135
55,109
56,112
57,97
58,83
59,74
60,66
61,115
62,115
63,121
64,123
65,122
66,119
67,116
68,112
69,104
70,86
71,82
72,64
73,161
74,159
75,150
76,147
77,135
78,123
79,101
80,100
81,97
82,82
83,64
84,64
