time,Entry
1,157
2,158
3,154
4,150
5,135
6,125
7,110
8,109
9,102
10,80
11,74
12,60
13,137
14,139
15,133
16,134
17,130
18,111
19,102
20,103
21,93
22,77
23,60
24,59
25,151
26,151
27,153
28,139
29,135
30,125
31,121
32,115
33,105
34,93
35,81
36,72
37,146
38,152
39,141
40,149
41,139
42,127
43,134
44,120
45,109
46,102
47,94
48,78
49,141
50,140
51,141
52,139
53,131
54,126
55,115
56,116
57,102
58,85
59,74
60,67
61,121
62,120
63,125
64,122
65,118
66,116
67,112
68,107
69,104
70,84
71,78
72,68
73,159
74,155
75,149
76,141
77,131
78,119
79,109
80,104
81,102
82,83
83,68
84,67
