time,Entry
1,112
2,114
3,119
4,119
5,107
6,102
7,104
8,108
9,107
10,83
11,89
12,76
13,94
14,99
15,102
16,95
17,87
18,89
19,85
20,89
21,93
22,69
23,66
24,58
25,88
26,97
27,97
28,85
29,82
30,78
31,102
32,107
33,106
34,79
35,86
36,74
37,106
38,106
39,112
40,115
41,107
42,101
43,91
44,98
45,99
46,60
47,64
48,67
49,88
50,91
51,96
52,88
53,94
54,79
55,87
56,95
57,101
58,69
59,68
60,62
61,69
62,75
63,75
64,69
65,70
66,65
67,86
68,89
69,96
70,56
71,63
72,61
73,120
74,120
75,119
76,125
77,122
78,114
79,111
80,114
81,119
82,91
83,98
84,88
