time,Entry
1,109
2,106
3,104
4,98
5,92
6,77
7,76
8,73
9,71
10,65
11,62
12,51
13,98
14,94
15,94
16,85
17,83
18,66
19,75
20,69
21,69
22,64
23,62
24,59
25,113
26,110
27,111
28,105
29,95
30,83
31,79
32,73
33,71
34,66
35,63
36,55
37,109
38,105
39,104
40,98
41,95
42,79
43,85
44,86
45,82
46,72
47,72
48,67
49,94
50,88
51,88
52,82
53,82
54,75
55,71
56,73
57,66
58,63
59,56
60,45
61,102
62,96
63,96
64,92
65,89
66,83
67,74
68,75
69,70
70,62
71,61
72,52
73,113
74,114
75,111
76,104
77,96
78,81
79,86
80,82
81,77
82,72
83,68
84,59
