time,Entry
1,106
2,113
3,119
4,110
5,108
6,95
7,82
8,85
9,90
10,74
11,74
12,72
13,114
14,120
15,127
16,118
17,115
18,102
19,75
20,80
21,84
22,68
23,66
24,66
25,100
26,106
27,110
28,101
29,99
30,86
31,85
32,87
33,90
34,75
35,76
36,78
37,107
38,112
39,120
40,111
41,105
42,93
43,81
44,87
45,92
46,71
47,73
48,69
49,39
50,45
51,49
52,47
53,43
54,38
55,78
56,83
57,86
58,74
59,73
60,69
61,76
62,79
63,85
64,80
65,77
66,67
67,78
68,82
69,82
70,67
71,70
72,68
73,125
74,136
75,142
76,130
77,127
78,113
79,80
80,84
81,89
82,76
83,75
84,75
