time,Entry
1,51
2,55
3,50
4,50
5,52
6,51
7,41
8,40
9,33
10,32
11,32
12,27
13,41
14,46
15,43
16,43
17,43
18,45
19,41
20,38
21,34
22,29
23,34
24,30
25,44
26,48
27,46
28,45
29,47
30,48
31,40
32,37
33,34
34,32
35,33
36,32
37,48
38,51
39,48
40,47
41,48
42,46
43,50
44,48
45,43
46,43
47,41
48,40
49,40
50,45
51,44
52,41
53,43
54,44
55,45
56,46
57,38
58,35
59,36
60,34
61,43
62,44
63,41
64,41
65,43
66,42
67,39
68,38
69,35
70,33
71,33
72,29
73,45
74,47
75,42
76,43
77,45
78,43
79,38
80,37
81,32
82,30
83,29
84,25
