delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"8","27","2","4","32","1","0","0","0","0","0","30","38","65","67","71","103","62","2016-09-19 08:00:00","118"
"8","27","2","4","32","0","1","0","0","0","0","30","38","65","67","71","103","62","2016-09-19 08:20:00","168"
"8","27","2","4","32","0","0","1","0","0","0","30","38","65","67","71","103","62","2016-09-19 08:40:00","161"
"8","27","2","4","32","0","0","0","1","0","0","30","38","65","67","71","103","62","2016-09-19 09:00:00","145"
"8","27","2","4","32","0","0","0","0","1","0","30","38","65","67","71","103","62","2016-09-19 09:20:00","125"
"8","27","2","4","32","0","0","0","0","0","1","30","38","65","67","71","103","62","2016-09-19 09:40:00","116"
"20","-12","18","-11","25","1","0","0","0","0","0","75","95","83","101","90","115","93","2016-09-19 17:00:00","86"
"20","-12","18","-11","25","0","1","0","0","0","0","75","95","83","101","90","115","93","2016-09-19 17:20:00","85"
"20","-12","18","-11","25","0","0","1","0","0","0","75","95","83","101","90","115","93","2016-09-19 17:40:00","91"
"20","-12","18","-11","25","0","0","0","1","0","0","75","95","83","101","90","115","93","2016-09-19 18:00:00","73"
"20","-12","18","-11","25","0","0","0","0","1","0","75","95","83","101","90","115","93","2016-09-19 18:20:00","78"
"20","-12","18","-11","25","0","0","0","0","0","1","75","95","83","101","90","115","93","2016-09-19 18:40:00","77"
"19","23","17","14","25","1","0","0","0","0","0","24","43","66","83","97","122","72","2016-09-20 08:00:00","154"
"19","23","17","14","25","0","1","0","0","0","0","24","43","66","83","97","122","72","2016-09-20 08:20:00","209"
"19","23","17","14","25","0","0","1","0","0","0","24","43","66","83","97","122","72","2016-09-20 08:40:00","210"
"19","23","17","14","25","0","0","0","1","0","0","24","43","66","83","97","122","72","2016-09-20 09:00:00","191"
"19","23","17","14","25","0","0","0","0","1","0","24","43","66","83","97","122","72","2016-09-20 09:20:00","222"
"19","23","17","14","25","0","0","0","0","0","1","24","43","66","83","97","122","72","2016-09-20 09:40:00","174"
"-7","14","-2","12","-1","1","0","0","0","0","0","80","73","87","85","97","96","86","2016-09-20 17:00:00","84"
"-7","14","-2","12","-1","0","1","0","0","0","0","80","73","87","85","97","96","86","2016-09-20 17:20:00","86"
"-7","14","-2","12","-1","0","0","1","0","0","0","80","73","87","85","97","96","86","2016-09-20 17:40:00","106"
"-7","14","-2","12","-1","0","0","0","1","0","0","80","73","87","85","97","96","86","2016-09-20 18:00:00","90"
"-7","14","-2","12","-1","0","0","0","0","1","0","80","73","87","85","97","96","86","2016-09-20 18:20:00","84"
"-7","14","-2","12","-1","0","0","0","0","0","1","80","73","87","85","97","96","86","2016-09-20 18:40:00","88"
"22","-5","29","26","-3","1","0","0","0","0","0","20","42","37","66","92","89","57","2016-09-21 08:00:00","126"
"22","-5","29","26","-3","0","1","0","0","0","0","20","42","37","66","92","89","57","2016-09-21 08:20:00","122"
"22","-5","29","26","-3","0","0","1","0","0","0","20","42","37","66","92","89","57","2016-09-21 08:40:00","149"
"22","-5","29","26","-3","0","0","0","1","0","0","20","42","37","66","92","89","57","2016-09-21 09:00:00","131"
"22","-5","29","26","-3","0","0","0","0","1","0","20","42","37","66","92","89","57","2016-09-21 09:20:00","83"
"22","-5","29","26","-3","0","0","0","0","0","1","20","42","37","66","92","89","57","2016-09-21 09:40:00","78"
"10","-9","-12","1","12","1","0","0","0","0","0","98","108","99","87","88","100","96","2016-09-21 17:00:00","77"
"10","-9","-12","1","12","0","1","0","0","0","0","98","108","99","87","88","100","96","2016-09-21 17:20:00","94"
"10","-9","-12","1","12","0","0","1","0","0","0","98","108","99","87","88","100","96","2016-09-21 17:40:00","95"
"10","-9","-12","1","12","0","0","0","1","0","0","98","108","99","87","88","100","96","2016-09-21 18:00:00","67"
"10","-9","-12","1","12","0","0","0","0","1","0","98","108","99","87","88","100","96","2016-09-21 18:20:00","75"
"10","-9","-12","1","12","0","0","0","0","0","1","98","108","99","87","88","100","96","2016-09-21 18:40:00","68"
"4","13","13","25","5","1","0","0","0","0","0","33","37","50","63","88","93","60","2016-09-22 08:00:00","121"
"4","13","13","25","5","0","1","0","0","0","0","33","37","50","63","88","93","60","2016-09-22 08:20:00","127"
