delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"19","13","56","-4","30","1","0","0","0","0","0","39","58","71","127","123","153","95","2016-09-19 08:00:00","161"
"19","13","56","-4","30","0","1","0","0","0","0","39","58","71","127","123","153","95","2016-09-19 08:20:00","167"
"19","13","56","-4","30","0","0","1","0","0","0","39","58","71","127","123","153","95","2016-09-19 08:40:00","138"
"19","13","56","-4","30","0","0","0","1","0","0","39","58","71","127","123","153","95","2016-09-19 09:00:00","174"
"19","13","56","-4","30","0","0","0","0","1","0","39","58","71","127","123","153","95","2016-09-19 09:20:00","144"
"19","13","56","-4","30","0","0","0","0","0","1","39","58","71","127","123","153","95","2016-09-19 09:40:00","148"
"-8","6","8","-12","5","1","0","0","0","0","0","117","109","115","123","111","116","115","2016-09-19 17:00:00","110"
"-8","6","8","-12","5","0","1","0","0","0","0","117","109","115","123","111","116","115","2016-09-19 17:20:00","118"
"-8","6","8","-12","5","0","0","1","0","0","0","117","109","115","123","111","116","115","2016-09-19 17:40:00","95"
"-8","6","8","-12","5","0","0","0","1","0","0","117","109","115","123","111","116","115","2016-09-19 18:00:00","94"
"-8","6","8","-12","5","0","0","0","0","1","0","117","109","115","123","111","116","115","2016-09-19 18:20:00","56"
"-8","6","8","-12","5","0","0","0","0","0","1","117","109","115","123","111","116","115","2016-09-19 18:40:00","61"
"12","37","33","28","-5","1","0","0","0","0","0","31","43","80","113","141","136","90","2016-09-20 08:00:00","145"
"12","37","33","28","-5","0","1","0","0","0","0","31","43","80","113","141","136","90","2016-09-20 08:20:00","173"
"12","37","33","28","-5","0","0","1","0","0","0","31","43","80","113","141","136","90","2016-09-20 08:40:00","154"
"12","37","33","28","-5","0","0","0","1","0","0","31","43","80","113","141","136","90","2016-09-20 09:00:00","144"
"12","37","33","28","-5","0","0","0","0","1","0","31","43","80","113","141","136","90","2016-09-20 09:20:00","142"
