time,Entry
1,110
2,111
3,118
4,120
5,117
6,112
7,108
8,111
9,111
10,77
11,87
12,76
13,108
14,108
15,115
16,114
17,106
18,97
19,95
20,105
21,108
22,77
23,73
24,63
25,110
26,110
27,113
28,116
29,111
30,103
31,103
32,107
33,106
34,79
35,85
36,79
37,106
38,108
39,113
40,114
41,106
42,98
43,100
44,105
45,108
46,71
47,77
48,74
49,94
50,97
51,105
52,93
53,97
54,84
55,91
56,101
57,105
58,72
59,75
60,68
61,87
62,89
63,92
64,87
65,89
66,81
67,111
68,109
69,120
70,86
71,92
72,91
73,119
74,113
75,118
76,126
77,128
78,114
79,106
80,106
81,110
82,68
83,75
84,61
