time,Entry
1,47
2,51
3,47
4,48
5,49
6,49
7,41
8,39
9,34
10,32
11,33
12,28
13,40
14,43
15,43
16,42
17,43
18,43
19,37
20,33
21,31
22,29
23,32
24,30
25,42
26,48
27,48
28,46
29,48
30,48
31,37
32,34
33,32
34,29
35,30
36,28
37,46
38,48
39,48
40,46
41,48
42,49
43,50
44,48
45,40
46,40
47,37
48,34
49,39
50,43
51,42
52,42
53,42
54,43
55,41
56,41
57,32
58,30
59,26
60,24
61,36
62,38
63,38
64,38
65,37
66,39
67,42
68,41
69,35
70,34
71,32
72,30
73,49
74,52
75,50
76,51
77,53
78,52
79,40
80,36
81,35
82,32
83,33
84,31
