time,Entry
1,111
2,111
3,120
4,123
5,121
6,115
7,109
8,114
9,115
10,78
11,89
12,77
13,112
14,110
15,119
16,120
17,111
18,100
19,96
20,108
21,114
22,77
23,74
24,66
25,110
26,111
27,116
28,119
29,115
30,105
31,106
32,114
33,112
34,84
35,90
36,86
37,108
38,110
39,119
40,119
41,111
42,100
43,101
44,108
45,114
46,73
47,80
48,76
49,90
50,94
51,98
52,90
53,89
54,78
55,90
56,97
57,100
58,71
59,71
60,66
61,87
62,88
63,90
64,85
65,83
66,77
67,107
68,101
69,113
70,82
71,85
72,85
73,119
74,113
75,116
76,127
77,129
78,116
79,108
80,110
81,114
82,69
83,77
84,64
