time,Entry
1,117
2,122
3,139
4,122
5,119
6,101
7,80
8,81
9,88
10,75
11,66
12,71
13,116
14,124
15,133
16,125
17,125
18,103
19,77
20,82
21,81
22,70
23,62
24,71
25,111
26,117
27,126
28,118
29,114
30,99
31,78
32,85
33,88
34,64
35,63
36,73
37,113
38,112
39,127
40,119
41,114
42,98
43,83
44,90
45,94
46,73
47,74
48,69
49,98
50,99
51,103
52,104
53,98
54,89
55,79
56,84
57,84
58,72
59,67
60,70
61,104
62,105
63,110
64,111
65,105
66,97
67,85
68,88
69,88
70,70
71,77
72,72
73,130
74,147
75,157
76,142
77,136
78,122
79,76
80,81
81,85
82,72
83,68
84,74
