time,Entry
1,112
2,109
3,107
4,98
5,90
6,76
7,76
8,68
9,68
10,65
11,62
12,55
13,108
14,108
15,106
16,95
17,87
18,74
19,67
20,62
21,61
22,58
23,53
24,51
25,116
26,111
27,113
28,109
29,96
30,85
31,75
32,64
33,65
34,62
35,60
36,52
37,104
38,96
39,94
40,90
41,85
42,75
43,81
44,79
45,78
46,66
47,69
48,56
49,66
50,61
51,65
52,57
53,59
54,58
55,77
56,74
57,70
58,67
59,61
60,56
61,68
62,52
63,62
64,64
65,63
66,59
67,70
68,64
69,63
70,57
71,55
72,49
73,122
74,121
75,122
76,113
77,100
78,90
79,79
80,70
81,68
82,66
83,61
84,52
