time,Entry
1,48
2,52
3,49
4,51
5,51
6,51
7,43
8,41
9,36
10,33
11,33
12,29
13,42
14,47
15,46
16,45
17,46
18,47
19,39
20,35
21,32
22,30
23,34
24,31
25,45
26,52
27,52
28,49
29,52
30,54
31,39
32,36
33,33
34,31
35,33
36,30
37,47
38,50
39,51
40,48
41,49
42,51
43,52
44,50
45,40
46,41
47,36
48,34
49,39
50,44
51,43
52,43
53,43
54,46
55,44
56,44
57,33
58,32
59,28
60,25
61,37
62,38
63,38
64,39
65,37
66,40
67,43
68,41
69,34
70,35
71,30
72,28
73,50
74,54
75,51
76,51
77,56
78,53
79,40
80,38
81,36
82,32
83,34
84,30
