time,Entry
1,144
2,154
3,141
4,146
5,132
6,131
7,107
8,109
9,94
10,74
11,60
12,54
13,152
14,152
15,142
16,149
17,143
18,127
19,99
20,105
21,98
22,83
23,77
24,68
25,143
26,150
27,144
28,142
29,137
30,130
31,124
32,119
33,112
34,93
35,83
36,68
37,148
38,146
39,142
40,151
41,138
42,128
43,154
44,131
45,120
46,116
47,106
48,96
49,118
50,112
51,123
52,131
53,122
54,127
55,110
56,112
57,94
58,79
59,72
60,62
61,113
62,105
63,116
64,121
65,115
66,117
67,120
68,116
69,102
70,83
71,78
72,63
73,162
74,154
75,145
76,138
77,129
78,120
79,110
80,110
81,106
82,85
83,72
84,67
