time,Entry
1,47
2,51
3,48
4,49
5,49
6,50
7,41
8,41
9,35
10,33
11,33
12,30
13,42
14,46
15,45
16,44
17,45
18,46
19,37
20,33
21,30
22,28
23,31
24,28
25,43
26,49
27,48
28,47
29,49
30,50
31,37
32,34
33,31
34,29
35,31
36,28
37,46
38,48
39,49
40,47
41,47
42,49
43,51
44,49
45,40
46,41
47,36
48,35
49,39
50,43
51,42
52,42
53,42
54,44
55,43
56,43
57,33
58,31
59,27
60,26
61,37
62,38
63,38
64,39
65,37
66,40
67,43
68,42
69,35
70,36
71,32
72,30
73,49
74,52
75,50
76,50
77,53
78,51
79,39
80,37
81,35
82,32
83,33
84,31
