time,Entry
1,113
2,108
3,106
4,97
5,87
6,76
7,75
8,69
9,70
10,65
11,64
12,57
13,109
14,107
15,107
16,97
17,86
18,74
19,69
20,64
21,65
22,60
23,55
24,54
25,118
26,112
27,114
28,111
29,97
30,87
31,75
32,65
33,66
34,62
35,62
36,55
37,101
38,96
39,94
40,89
41,84
42,72
43,79
44,79
45,76
46,65
47,66
48,57
49,65
50,62
51,65
52,56
53,59
54,57
55,78
56,75
57,72
58,68
59,61
60,57
61,56
62,47
63,53
64,54
65,56
66,49
67,71
68,65
69,64
70,59
71,54
72,50
73,123
74,123
75,123
76,116
77,101
78,92
79,79
80,72
81,69
82,66
83,63
84,54
