time,Entry
1,110
2,113
3,118
4,119
5,117
6,112
7,108
8,111
9,111
10,79
11,85
12,75
13,107
14,107
15,114
16,113
17,105
18,98
19,96
20,106
21,108
22,76
23,74
24,62
25,108
26,110
27,112
28,115
29,110
30,103
31,102
32,108
33,105
34,80
35,84
36,78
37,106
38,110
39,113
40,116
41,106
42,99
43,100
44,107
45,109
46,72
47,78
48,75
49,92
50,97
51,105
52,94
53,95
54,83
55,90
56,100
57,102
58,72
59,73
60,67
61,86
62,88
63,92
64,87
65,86
66,78
67,111
68,110
69,121
70,87
71,92
72,93
73,120
74,115
75,116
76,126
77,128
78,116
79,105
80,107
81,108
82,68
83,75
84,60
