time,Entry
1,117
2,123
3,134
4,122
5,121
6,99
7,80
8,79
9,86
10,73
11,66
12,69
13,114
14,120
15,126
16,119
17,121
18,100
19,76
20,80
21,80
22,69
23,60
24,70
25,111
26,113
27,119
28,114
29,110
30,95
31,77
32,84
33,86
34,64
35,64
36,74
37,110
38,108
39,120
40,113
41,111
42,95
43,86
44,91
45,93
46,71
47,76
48,71
49,78
50,79
51,84
52,84
53,77
54,73
55,79
56,85
57,90
58,72
59,68
60,70
61,100
62,101
63,108
64,109
65,102
66,96
67,85
68,87
69,90
70,70
71,76
72,71
73,131
74,147
75,155
76,142
77,139
78,123
79,77
80,81
81,85
82,71
83,68
84,74
