time,Entry
1,48
2,52
3,48
4,46
5,49
6,49
7,36
8,33
9,28
10,27
11,28
12,26
13,41
14,43
15,42
16,42
17,42
18,44
19,36
20,33
21,31
22,28
23,30
24,28
25,48
26,55
27,54
28,49
29,53
30,53
31,38
32,36
33,34
34,32
35,32
36,29
37,42
38,45
39,44
40,42
41,43
42,43
43,43
44,43
45,37
46,37
47,31
48,29
49,49
50,55
51,54
52,48
53,53
54,53
55,42
56,39
57,33
58,31
59,27
60,27
61,48
62,53
63,51
64,45
65,50
66,50
67,53
68,57
69,49
70,44
71,44
72,44
73,47
74,49
75,47
76,47
77,48
78,48
79,35
80,32
81,28
82,26
83,27
84,25
