time,Entry
1,99
2,103
3,111
4,99
5,97
6,82
7,81
8,84
9,88
10,73
11,70
12,73
13,108
14,113
15,122
16,113
17,112
18,94
19,72
20,73
21,78
22,61
23,56
24,57
25,94
26,97
27,106
28,97
29,94
30,80
31,78
32,83
33,84
34,67
35,65
36,72
37,112
38,113
39,123
40,113
41,107
42,92
43,91
44,98
45,100
46,85
47,87
48,83
49,33
50,38
51,39
52,40
53,36
54,28
55,77
56,78
57,83
58,69
59,66
60,62
61,80
62,80
63,88
64,84
65,82
66,70
67,79
68,85
69,85
70,67
71,68
72,63
73,113
74,121
75,128
76,115
77,111
78,101
79,76
80,81
81,85
82,71
83,70
84,73
