time,Entry
1,100
2,98
3,95
4,95
5,86
6,72
7,77
8,69
9,70
10,62
11,65
12,60
13,108
14,110
15,109
16,99
17,88
18,78
19,69
20,59
21,63
22,54
23,58
24,57
25,117
26,113
27,113
28,110
29,94
30,84
31,75
32,63
33,67
34,60
35,63
36,60
37,108
38,103
39,97
40,95
41,88
42,71
43,88
44,91
45,84
46,71
47,72
48,62
49,90
50,82
51,80
52,77
53,72
54,66
55,79
56,77
57,73
58,67
59,60
60,53
61,79
62,69
63,69
64,60
65,65
66,60
67,75
68,70
69,67
70,63
71,58
72,53
73,120
74,122
75,120
76,113
77,100
78,89
79,73
80,62
81,63
82,59
83,59
84,55
