time,Entry
1,157
2,158
3,155
4,155
5,140
6,132
7,108
8,109
9,95
10,75
11,65
12,55
13,152
14,153
15,144
16,152
17,141
18,126
19,99
20,100
21,93
22,80
23,67
24,60
25,149
26,146
27,147
28,140
29,133
30,127
31,125
32,121
33,110
34,96
35,87
36,74
37,149
38,152
39,142
40,148
41,138
42,126
43,151
44,135
45,120
46,114
47,109
48,92
49,129
50,124
51,134
52,137
53,124
54,128
55,110
56,112
57,98
58,82
59,70
60,62
61,115
62,112
63,120
64,121
65,111
66,114
67,115
68,113
69,99
70,86
71,80
72,66
73,146
74,148
75,133
76,133
77,126
78,117
79,117
80,114
81,104
82,90
83,79
84,67
