time,Entry
1,94
2,94
3,100
4,92
5,86
6,83
7,105
8,112
9,109
10,83
11,92
12,81
13,62
14,59
15,65
16,65
17,58
18,57
19,99
20,105
21,107
22,79
23,81
24,65
25,81
26,87
27,86
28,84
29,86
30,81
31,106
32,107
33,106
34,85
35,91
36,82
37,106
38,106
39,110
40,110
41,100
42,92
43,100
44,110
45,110
46,80
47,86
48,83
49,86
50,92
51,94
52,85
53,81
54,79
55,107
56,118
57,115
58,92
59,97
60,88
61,58
62,60
63,61
64,58
65,57
66,54
67,113
68,113
69,123
70,86
71,96
72,92
73,115
74,121
75,119
76,123
77,125
78,113
79,115
80,125
81,120
82,97
83,104
84,91
